Photo,Buyer's Code,Description,Article Nr.,REMARK,CUSHION,GLASS / MIRROR,UOM,W,D,H,SW,SH,SD,AH,Weight Capacity (Kg/Lt),MATERIALS,FINISHING COLOR OF ITEM,WEAVING COMPOSITION,USD SELLING PRICE,PACKING DIMENTION (CM),NW (KG),GW (KG),CBM,ACCESSORIES,PICTURE OF ACCESSORIES,LEATHER,PICTURE OF LEATHER,FINISHING STEPS,FINISHING COLOR OF ITEM,HARGA SUPPLIER / BASKETS
,23453,HANGING BASKET,23931010,Add Plastic ,,,CM,60,60,47,,,,,,"Rattan CL, Plastic",Natural,,25,61x61x51 cm,3.17,6.40,0.19,,,,,,,
,23688,Rattan Rack,P3230047,,,,CM,55,40,80,,,,,,"Rattan 1/2 polesh, rattan kubu grey",Grey Natural,,48,58x43x83 cm,6.18,9.00,0.23,,,,,,,
,23412,HANGING LAMP CL,23941003,"INDOOR OR SEMI OUTDOOR

With Fitting holder/canopy
 Without Electricity",,,CM,56,56,54.5,,,,,,CL Rattan,Natural,,32,"59x59x57,5 cm",3.18,3.80,0.20,,,,,,,
,,BAMBOO LANTERN SET OF 2,23941005,"L: 50,5x50,5x66/93 cm (Incl. Handle)
S: 35x35x52/69,5 cm (Incl. Handle)

Glass Diameter must be fit for candle Dia 10 cm",,,CM,50.50,50.50,66/93,,,,,,"Rattan, bamboo, Jute, glass",Natural Finishing,,55,83x52x68 cm,3.24,5.10,0.29,,,,,,,
,,BAMBOO LANTERN SET OF 2 - ECO VER,23941005,"L: 50,5x50,5x65/92 cm (Incl. Handle)
S: 35x35x51,5/70 cm (Incl. Handle)

Glass Diameter must be fit for candle Dia 10 cm",,,CM,50.50,50.50,65/92,,,,,,"Bamboo, Jute, glass",Natural Finishing,,46,83x52x68 cm,3.16,5.00,0.29,,,,,,,
,23597,WAVE BASKET SET OF 2,23931011,"Size L : 32 x 32 x 41 cm
Size S : 28,5 x 28,5 x 36,5 cm",,,CM,32,32,41,,,,,,"Iron frame, seagrass",Natural,,36,37x37x45 cm,,,0.06,,,,,,,
,23985,SLEDGE STORAGE,2433003,No visible screw on the bottom part as below,,,CM,41,28,30,,,,,,"Teak wood, Rattan Slimit Natural",Finish as pict below,,15,47x31x32 cm,1.00,1.50,0.05,,,,,,,
,,CONSOLE TABLE,23931013,"Top from teak wood , 1pc soft closer

NO LEGS",,,CM,120,42,76.5,,,,,,"Mahogany wood frame, rattan kubu grey , 1pc soft closer , teak wood top",Grey + Tobacco,,135,126x48x82 cm,29.86,31.27,0.50,,,,,,,
,23906,TASSEL HANGING LAMP KIDS,23941004,"metal fitting ring should use Loberon's standard, flat shape with 6cm outer diameter size",,,CM,40.50,40.50,35.50,,,,,,Iron frame - Rattan Slimit Grey - Jute - Tassel : Cream,Grey,,32,42x42x38 cm,1.30,2.73,0.07,,,,,,,
,23905,ROCKING HORSE,23910009,,,,CM,42,86,71.5,,,,,,Rattan Slimit grey,Grey,,39,45x90x76 cm,2.84,5.76,0.28,,,,,,,
,24590,CALLIE HANGING CHAIR,2431001,"200CM METAL CHAIN HANGER (SILVER CHAIN)

WITH METAL PLAT & HOOK (BLACK)
","YES
INDOOR FOAM , FABRIC PALAZO 141",,CM,115,81,115,,,,,150,"Chair : Rattan CL semi polesh , metal chain (silver color) , metal hook.
",Natural,,157,120x120x84,25,31,1.21,,,,,,,
,,TWIN SMALL CANDLE HOLDER WITH 2 GLASSES,NWSL 7030A,"Glass Dia5,3x6,4 cm (2 Pcs)",,,CM,14,8,8,,,,,,"Rattan slimit grey, glass",Natural,,8,17x13x12,0.10,1.18,0.00,,,,,,,
